ID,Timestamp,Conversation,Question bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue; only if math-related),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,
13,6:10,,,Parent,"Because I bet we're kind of getting near the end of we're halfway done at least Oh, yeah, we haven't. We did. Definitely halfway done.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6:18,,,Researcher,We'll finish this and we'll do the robot stuff. And then we'll just talk to you. Okay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6:23,,,Parent,[child]. Why don't What are you working on? Do you want to color? Why don't instead you do something with your body? Because otherwise you're just sitting again.,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6:35,,,Researcher,"I can take you can take break. No, no rush. We're not in a rush. And we understand kids have short attention span.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6:43,,,Parent,"Yeah, he's just starting to get like,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6:44,,,Researcher,"Yeah, that's very normal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6:46,,,Parent,Like this is a fun book and he.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6:43,,,Researcher,"Yeah, I mean, it's fine. It's fine. We can take a little break. It I mean, unless you have a rush later.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6:56,,,Parent,"No, we have nothing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6:57,,,Researcher,we can wait as well.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7:00,,,Parent,Like do you guys need any way? Do you want any? Are you guys hungry? Do you need anything?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7:04,,,Researcher,We're good. We're good.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7:05,,,Child,What I really wanna do is play.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7:09,,,Parent,"Why don't you run and touch. Touch the trampoline and run back. Go run out, touch the trampoline and come back and I'll count how many seconds it takes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7:21,,,Researcher,Do you want to be the robot you want to take your robot costume and run out? In Touch that can come back?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7:27,,,Parent,The robot will slow you down. Put your robot on. Go outside.  robot Show me. Show me how fast your robot can move.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7:41,,,Child,zero. Yeah. Cause even if I press the on button it won't move.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7:46,,,Parent,"Okay, let's see [child] really likes to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7:58,,,Child,See it's not moving.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7:59,,,Parent,"Oh,we know but if you put your robot on, are you able to run? Or do you can you only run without your robot on? Thank you. So run to the trampoline. Run back and I'm gonna count how many seconds it takes for you to go. Tell me when to start. Ready to go. Okay, ready? Oh my gosh. Okay, shoes on. Okay. Tell us when you're ready. Okay, go.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8:41,,,Researcher,What? There's some little tent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8:49,,,Parent,"Oh, yeah, it's just like a little plaything. Nice. Um, yeah, we just like, oh, over a ball. Oh, no. He, we just find stuff like a neighbor's give stuff away.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9:01,,,Researcher,"Ah, nice. So you just set up a tent? Yeah, yeah, that's very fun.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9:06,,,Parent,20 Wow. 20 seconds. It took you 20 seconds.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9:15,,,Child,20 seconds.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9:16,,,Parent,Mm hmm. Yeah. That's a big Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9:21,,,Researcher,Yeah. You're very fast. Pew.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9:26,,,Parent,"Okay. Don't touch. Don't touch Baba. Alright, let's come in, do our books. And then we're, we're nearly done with this thing. And that can definitely pick out a snack.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9:39,,,Child,"Well, well, then, then, we will play with the robot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9:45,,,Parent,"Oh, cool. All right.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9:48,,,Researcher,"Yeah, we're waiting for you to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9:49,,,Parent,"Okay. Oh, yeah. So now, I can't know if I can think of math question say Okay, spontaneous anything okay,[child] so where are we reading it again are just asking questions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10:05,,,Researcher,Yes asking questions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10:07,A1-2,M1,Parent,How many? [child] how many underwear or pants are on the giraffe,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
13,10:20,A1-2,M1,Child,"1, 2, 3, 4",,,,,,,,,1,,1,,4,,1,,1,,,,,,,,,,,,,,,,,,,
13,10:24,A1-2,M1,Parent,Very good. That was a trick one because I didn't know if you're going to count that one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10:24,A1-2,M2,Parent,How many legs does the octopus have?,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10:38,A1-2,M2,Child,"1, 2, 3, 4, 5",,,,,,,,,1,,,1,5,,1,,1,,,,,,,,,,,,,,,,,,,
13,10:42,A1-2,M2,Parent,The octopus has 5 legs? It's called an octopus oct let's try again. Ah and as oct legs so count,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,
13,10:55,A1-2,M2,Child,what does oct legs mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10:57,A1-2,M2,Parent,it it means a certain number and doesn't mean 5 so let's count them,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,
13,11:03,A1-2,M2,Child,What's the certain number?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11:05,A1-2,M2,Parent,Oct means a number and it does not mean 5. You can find out what number it means by counting the legs,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,
13,11:14,A1-2,M2,Child,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,,,,,,,1,,,1,10,,1,,1,,,,,,,,,,,,,,,,,,,
13,11:26,A1-2,M2,Parent,is 8. oct means 8. 8 feet,,1,,,,,,,,,,,8,,1,,1,,,,,,,,,1,1,,,,,,,1,,
13,11:38,A1-2,M2,Child,why can't it be called an eight-apus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11:41,A1-2,M3,Parent,"it could, how many underwear it could be it could be called that. Do you remember in Finding Dory there was the septapus because he only had seven legs. So sept means seven. [child] how many undies are on the reindeer.",,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
13,12:04,A1-2,M3,Child,"1, 2, 3",,,,,,,,,1,,1,,3,1,,,1,,,,,,,,,,,,,,,,,,,
13,12:07,A1-2,M4,Parent,"Okay, cool. How many kitty cats do you see on these two pages put together how many kitty cats",,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
13,12:26,A1-2,M4,Child,0 on this page kitty cat 1 on this page one and you get banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12:45,A1-2,M4,Parent,we're just on this one page. But there's a lot of cool pages of this book. We don't even see those pages. But yet we are counting kitty cats and you counted one lion one lion what other kitty cats do you see there on this page?,,1,,,,,,,,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,
13,13:12,A1-2,M4,Child,"This,this kitty this kitty. This kitty and this kitty and this",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13:17,A1-2,M4,Parent,Okay count them because I asked you how many so you have to count. Count how many kitties,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,
13,13:22,A1-2,M4,Child,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13:24,A1-2,M4,Parent,1,,1,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,1,,,,,
13,13:24,A1-2,M4,Child,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13:25,A1-2,M4,Parent,2,,1,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,1,,,,,
13,13:26,A1-2,M4,Child,"I'm at 1, 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13:31,A1-2,M4,Parent,Lions not a kitty?,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13:32,A1-2,M4,Child,"Yeah 1, 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13:38,A1-2,M5,Parent,"Okay, okay, he's not including the lion. Okay, all right. Let's ask some questions about this one. Okay, how many socks are on a string?",,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
13,13:52,A1-2,M5,Child,"1. I know this says? oo smelly.  1, 2 ,3 , 1, 2, 3, 4, 5, 6, 7, 8, 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14:07,A1-2,M5,Parent,"I know you want to be done, but we will be done faster if you take your time. Oh, wow. Everyone with your finger.",,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
13,14:15,A1-2,M5,Child,"1, 2, 3, 4, 5, 6, 7. 7.",,,,,,,,,1,,,1,7,,1,,1,,,,,,,,,,,,,,,,,,,
13,14:20,A1-2,M5,Parent,Do you see any other lines anywhere? 7. There's another line over here. So how many are those over there?,,1,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,
13,14:28,A1-2,M5,Child,"1, 2, 3, 4, 5, 6.",,,,,,,,,1,,1,,6,,1,,1,,,,,,,,,,,,,,,,,,,
13,14:32,A1-2,M6,Parent,"Okay, very good. So you've counted 7 here and 6 there. So how many altogether?",,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,
13,14:38,A1-2,M6,Child,"1, 2, 3, 4, 5 ,6 ,7 ,8 ,9 ,10, 11, 12, 13.",,,,,,,,,1,,1,,13,,,1,1,,,,,,,,,,,,,,,,,,,
13,14:48,A1-2,M7,Parent,"Very good. Amazing. Well, okay. How many flying animals do you see?",,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,
13,15:01,A1-2,M7,Child,I see flying animals. I can't see what's flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15:22,A1-2,M7,Parent,"like a bird how many birds do you see? How many animals with feathers? Do you have a number that you want to tell me, you just pointed to some Yeah, well I said how many so can you answer in a number?",,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
13,16:07,A1-2,M7,Child,"1, 1",,,,,,,,,1,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,
13,16:14,A1-2,,Parent,There's 1. Go to the car to the car driving a car go go go buy a new car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,16:57,A1-2,,Child,"I counted all of them but it was 5 and now can we see the robot? No, wait.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17:07,A1-2,,Parent,"I don't know. I think I'm done. I think naturally I just don't ask math questions. I would be like, what's your favorite animal? This one's funny. I like this one. Which one's like",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17:17,A1-2,,Researcher,"yeah, I just don't question anything you could think of at this moment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17:23,A1-3,,Researcher,"Okay, so now the last thing last last thing last thing. is we will ask the mom to read these questions first and then you can rank them on your own just from one to four one is you think is the easiest for [child] and four is the the most difficult for [child] and then yeah and then the same for the other page. Oh yeah. And then if you can think out loud or at the end briefly tell me why you rank in a certain way that will be great",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18:01,A1-3,,Parent,"Okay, that's enough [child]. complicated I can't even find the turtle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18:16,A1-3,,Researcher,nothing stops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18:17,A1-3,,Parent,Oh his neck.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18:19,A1-3,,Researcher,Oh be careful be careful.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18:22,A1-3,,Parent,Where's the turtle first I find the turtle because I cannot even find that the turtle Thank you How many legs does the octopus oh am i not supposed to say these out loud?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18:35,A1-3,,Researcher,Yeah you just you can just rank your own first and then tell me why you rank in certain a certain way.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18:55,A1-3,,Parent,so one is the easiest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18:57,A1-3,,Researcher,one for you think for [child],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18:59,A1-3,,Child,Yes Oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,19:08,A1-3,,Researcher,be careful because then the other ones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,19:18,A1-3,,Child,Ah come on. It's taking too long.oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,19:50,A1-3,,Researcher,intuitively and then if you can briefly tell me why you'd rank in a certain way that would be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20:00,A1-3,,Parent,"Oh yeah, so that's a low number that I think [child] can see, mostly without really having to count",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20:08,A1-3,,Researcher,the lower magnitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20:11,A1-3,,Parent,"And then this is a number I think he can count to. And then this I just, I think it is something he could see, but I don't know if, if you would. I think it's something you could see. But I practice that. No, I've never seen him do that. And then this just seemed, if four more ants come below the llama, how many ants will there be in total? I just don't know if he like knows that language. So I mean, maybe he does. But I don't do I don't do math with him.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20:55,A1-3,,Researcher,"Okay, what about this part?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20:57,A1-3,,Parent,"Okay. Okay, so how many animals are red? I just think that he can count. okay. Just want some space? [child] he would like space. Yeah. Yeah. Not yet dada. Oh, well, we saw him do this already. Okay, so that was easy. And it is just counting and it's a number I think you can count to I just don't know if he knows in order. I think he does. But I'm not positive. And again, he just probably doesn't know this language. The Blue cat wears 4 socks in the cat takes off two of them. How many socks are left? Like I just think it is a lot of pieces. Hold on. So I'm not sure if he will be able does that since we don't do this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,21:59,A1-3,,Researcher,"Okay. Yeah, that makes sense. So the last thing about this is we will let us",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22:06,A1-3,,Parent,I know but we're not done twice. We're not done yet. We're almost done. This is not nighttime at daddy come home early.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22:25,A1-3,,Researcher,"So the the last thing here is you will start with number one, and then let [child] answer the question on his own. And if you feel like he cannot figure it out on his own, you can try your any of your ways to support him.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22:40,A1-3,,Parent,"Oh, okay. Sounds good.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22:43,A1-3,,Researcher,All right. So,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22:44,A1-3,,Parent,we have some more questions to do. But it's only eight. And then and then robot. Yeah. And then we'll go set up questions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22:53,A1-3,,Child,"Ah,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22:54,A1-3,B1-L1,Parent,"robot. Ready? Hey, ready? So I asked them in order of how we ranked them or does it not matter? What sport Can you can you count the number of pants on the giraffe's neck",1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
13,23:11,A1-3,B1-L1,Child,"1, 2, 3.",,,,,,,,,1,,1,,3,1,,,1,,,,,,,,,,,,,,,,,,,
13,23:19,A1-3,B1-L2,Parent,good. How many legs does the octopus have?,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
13,23:25,A1-3,B1-L2,Child,"1, 2, 3, 4, 5, 6, 7, 8",,,,,,,,,1,,1,,8,,1,,1,,,,,,,,,,,,,,,,,,,
13,23:25,A1-3,B1-L3,Parent,"Okay, are there more stars? [child] look? Are there more stars on the panda's pants or more stripes on the turtles pants? For this one you have to look at them and tell me if you think there's more stars here or more stripes here do you think there are more stars? If more",1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
13,23:36,A1-3,B1-L4,Parent,"okay, here's this question is about the llama right here who's saying ants in my pants. Okay. Question is, look, if 4 more ants come below the llama, how many ants will there be in total? So this is saying look at how many [child]? This is saying. [child], this is saying look at how many ants are below the llama. If 4 more came, how many would there be in total?",1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
13,24:39:00,A1-3,B1-L4,Child,"1, 2, 3, 4",,,,,,,,,1,,,1,4,,1,,1,,,,,1,,,,,,,,,,,,,,
13,24:42:00,A1-3,B1-L4,Parent,"And if there were 4 more you just counted 4. So if 4 more came How many would there be? just counted 1, 2",,1,,,,,,,,,,,4,,1,,,,,,,1,,,,1,,,,1,,,,,,
13,24:51:00,A1-3,B1-L4,Child,No it would be 4.,,,,,,,,,1,,,1,4,,1,,,,,,,1,,,,,,,,,,,,,,
13,24:53:00,A1-3,B1-L4,Parent,4 plus 4. So what is 4 plus 4?,,,1,,,,,,,,,,4,,1,,,,,,,1,,,,,,,,,,,,,,
13,24:57:00,A1-3,B1-L4,Child,4 plus 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,25:00:00,A1-3,B1-L4,Parent,"Here's how many do you know how many that is in total? Plus look 1, 2, 3, 4 plus 1, 2, 3, 4. Do you see how many that would be?",,1,,,,,,,,,,,4,,1,,1,,,,,1,,,,1,,,,,1,,,,,
13,25:13:00,A1-3,B1-L4,Child,"Well, why is dad taking too long?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,25:17:00,A1-3,B1-L4,Parent,"Oh, yeah, how many? Well why? It's very distracting because his dad is home. [child] 1, 2, 3, 4 are already there. If 1, 2, 3, 4 More came, how many would that be? One way to find it out is to count how many fingers I have.",,1,,,,,,,,,,,4,,1,,1,,,,,1,,,,,,,,,1,,1,,,
13,25:49:00,A1-3,B1-L4,Child,8,,,,,,,,,1,,1,,8,,,,,1,,,,1,,,,,,,,,,,,,,
13,25:50:00,A1-3,B1-L4,Parent,"Yeah, because 4 plus 4 equals 8, because you counted those to 8. Okay. 4 more questions. No 4 more questions then robot time. ",,1,,,,,,,,,,,8,,1,,,,,,,1,,,,,,,,,,,,1,,
13,26:13:00,A1-3,B2-L1,Parent,Okay. How many animals are red? To get a look and find how many red animals? Huh?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,26:13:00,A1-3,B2-L1,Child,"1, 2.",,,,,,,,,1,,1,,2,1,,,,,1,,,,,,,,,,,,,,,,,
13,26:16:00,A1-3,B2-L1,Parent,"1, 2 red animals? Anymore red animals? I don't see any more. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,26:16:00,A1-3,B2-L2,Parent,Okay. Can you count the number of socks on the string between the panda and the elephant? How many socks are on the string between,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,26:34:00,A1-3,B2-L2,Child,"1, 2?",,,,,,,,,1,,,1,2,1,,,1,,,,,,,,,,,,,,,,,,,
13,26:36:00,A1-3,B2-L2,Parent,How many socks are between the elephant and the panda?,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
13,26:39:00,A1-3,B2-L2,Child,"1, 2. 1, 2, 3, 4. 1, 2, 3, 4, 5.",,,,,,,,,1,,1,,5,,1,,1,,,,,,,,,,,,,,,,,,,
13,26:58:00,A1-3,B2-L3,Parent,"good counting. Oh, the octopus. wears [child]? The octopus wears 8 socks? What number comes after the 8 eight?",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
