ID,Timestamp,Conversation,We ,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,,,,,,,,,,,
6,39:14:00,A2-2,L1-3,Parent,Not green,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
6,39:16:00,A2-2,L1-3,Child,"1, 2, 3. 1, 2, 3, 4.",,,,,,,,,1,,,1,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39:23:00,A2-2,L1-3,Parent,"That's pete, so not him, how many of his friends?",,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
6,39:27:00,A2-2,L1-3,Child,"1, 2, 3. 3.",,,,,,,,,1,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39:33:00,A2-2,L1-3,Robot,Pete has 3 friends who are not all green. He has so many friends.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39:39:00,A2-2,,Parent,"Kelly says pepperoni would be just fine, but I put pretzels on mine. Pete in the game were puzzled pretzels. Well, that's something new but maybe pretzels can be groovy too.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39:53:00,A2-2,L2-2,Robot,How many pretzels can you see in the picture?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39:58:00,A2-2,L2-2,Child,"1, 2, 3, 4, 5. 5.",,,,,,,,,1,,1,,5,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40:08:00,A2-2,L2-2,Robot,I can see 5 pretzels in total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40:13:00,A2-2,,Parent,it's a party a party a pepperoni pretzel pizza party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40:22:00,A2-2,L1-4,Robot,Can you count the number of Pete's friends in the pool in an animal-shaped floaty?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40:27:00,A2-2,L1-4,Parent,"Within an animal shaped, how many do you see?",,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
6,40:30:00,A2-2,L1-4,Child,"1, 2, 3, 4. 4.",,,,,,,,,1,,1,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40:39:00,A2-2,L1-4,Robot,4 of Pete's friends are an animal-shaped floaties. That looks like fun.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40:44:00,A2-2,,Parent,"Squirrels said are pepperoni pretzels would be just fine, but I really love pistachio pete in a puddle of pistachios. Well, there's something new. Maybe postachios could be groovy too.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40:59:00,A2-2,L2-3,Robot,The alligator has some sharp teeth. Can you count the number of teeth he has?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,41:06:00,A2-2,L2-3,Child,"1, 2, 3, 4, 5, 6, 7, 8",,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,41:14:00,A2-2,L2-3,Robot,Looks like the alligator has 8 teeths. He probably has more in his mouth too.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,41:21:00,A2-2,,Parent,It's a party a party a pepperoni pretzel postachio pizza party.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,41:28:00,A2-2,L3-1,Robot,We can see that there are 2 guitars here. So what number comes after 2?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,41:34:00,A2-2,L3-1,Child,3,,,,,,,,,1,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,41:37:00,A2-2,L3-1,Robot,Those guitars look like fun. The number 3 comes after 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,41:42:00,A2-2,,Parent,Grumpy Toad said pepperoni pretzels and pistachios would be just fine but I really love pickles on mine. Pete and the gang are puzzled pig goes well thats something new maybe? But maybe pickles could be groovy too.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,41:58:00,A2-2,L2-4,Robot,How many pickles did Toad bring?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,42:02:00,A2-2,L2-4,Child,"1, 2, 2, 3, 4. 4.",,,,,,,,,1,,,1,4,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,42:10:00,A2-2,L2-4,Robot,Toad brought 5 pickles to put on the pizza. It is so silly of him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,42:16:00,A2-2,L2-4,Parent,Do you see this one? It's a party a party of pepperoni pretzel postachio pickle party.,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,42:25:00,A2-2,L3-2,Robot,Are there more cats or alligators?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,42:28:00,A2-2,L3-2,Parent,Which has more? Cats or alligators?,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,
6,42:30:00,A2-2,L3-2,Child,I don't know,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
