ID,Timestamp,Conversation,Question bookmark,Speaker,Utterance,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,
14,46:19:00,A2-2,L3-2,Child,1,,,,,,,,1,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,
14,46:20:00,A2-2,,Parent,"right. gus said pepperoni. How Gus talk? Gus said pepperoni, pretzels pistachios and pickles will be just fine. But I really love popcorn on my mine. Pete and the gang were puzzled popcorn. Well, that's something new maybe popcorn could be groovy too. too.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,46:59:00,A2-2,L4-1,Robot,How many friends would Pete have at the party? If one more friend joined?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,47:04:00,A2-2,L4-1,Parent,I don't know. Let's take a look. So how many friends does he have right now?,1,,,,,,,,,,,5,,1,,,1,,,,,,,,,,,1,,,,,,,
14,47:09:00,A2-2,L4-1,Child,"We count them 1, 2, 3",,,,,,,,1,,,1,3,1,,,1,,,,,,,,,,,,,,,,,,,
14,47:12:00,A2-2,L4-1,Parent,"Well, that's pete. So that's our friend.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
14,47:18:00,A2-2,L4-1,Parent,"Five Right. So there's 1,2,3,4,5 and if he had one more friend, how many would that be?",1,,,,,,,,,,,5,,1,,,,,,,1,,,,,,,,,,,,,,
14,47:28:00,A2-2,L4-1,Child,"1, 2, 3, 4, 5, 6",,,,,,,,1,,1,,6,,1,,1,,,,,,,,,,,,,,,,,,,
14,47:34:00,A2-2,L4-1,Parent,right six friends. We have one more.,1,,,,,,,,,,,6,,1,,,,,,,1,,,,,,1,,,,,,,,
14,47:40:00,A2-2,L4-1,Robot,Pete has five friends at the party. So if one more friend joined he would have six friends. That sounds like fun.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,47:48:00,A2-2,,Parent,It's a party. It's a party. A pepperoni pretzel pistachio could go popcorn pizza party. Pizza. Pizza party. But should we do that? I think she likes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,48:06:00,A2-2,L3-3,Robot,which one of his friends is third on the bus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,48:11:00,A2-2,L3-3,Parent,Which one of the friends is third on the bus? Do you know what third means? No. It means number three. Which one? Who's? Who's that one? Which one? This one? Yeah. The duck? I don't remember his name. Do you remember his name?,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
14,48:28:00,A2-2,L3-3,Child,Gus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,48:29:00,A2-2,L3-3,Parent,Gus. Remember? Let's see.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,48:33:00,A2-2,L3-3,Robot,Seems like Toad is third on the bus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,48:36:00,A2-2,L3-3,Parent,"Oh, well. I don't know if that's right. Because the question was, let's repeat the question. Which one of the friends comes third? Right?",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
14,48:48:00,A2-2,L3-3,Robot,Which one of Pete's friends is third on the bus?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,48:52:00,A2-2,L3-3,Parent,Three. Isn't that right?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,49:00:00,A2-2,,Researcher,Don't worry about it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,49:02:00,A2-2,,Parent,"I think you're wrong Misty. Because we're not getting pete. It's the friends unless we're going from no, I would still be got us. Okay. Alligator said pepperoni, pretzels, pistachios, pickles and popcorn would just be fine. But I really love papaya on mine. On pizza. Do you know anything? Do you notice anything about all these toppings on the pizza? What do they have in common?What's similar? pistachios? Pickles, popcorn? Pretzels. Pepperoni. Papaya.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
14,49:43:00,A2-2,,Child,What? What is,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
14,49:45:00,A2-2,,Parent,"we're thinking about the way they sound? Pistachios, pickles, popcorn? Pepperoni. What are you what's similar about all those toppings? The words Are those toppings? Oh, that's right. They all start with P. Okay. Now Pete in the game are really puzzled",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,50:17:00,A2-2,L4-2,Robot,how many papayas would there be if the alligator got one more?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,50:22:00,A2-2,L4-2,Parent,so let's see. Is this one papaya or is that two? I think that's one cut in half.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
14,50:32:00,A2-2,L4-2,Robot,"If the alligator got one more papaya, there would have five papayas. Oh, yummy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,50:38:00,A2-2,L4-2,Parent,"Well, that's a complicated one too, because this could be one papaya cut in half. But purpose of this study, we can say it's four separate papayas I guess.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
14,50:54:00,A2-2,,Parent,"Okay. Bounce House. It's a party your party a pepperoni pretzel, pistachio pickled popcorn papaya pizza party",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,51:15:00,A2-2,L3-4,Robot,are there more alligators or cats in the bouncy house?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,51:23:00,A2-2,L3-4,Parent,Let's repeat the question.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,51:25:00,A2-2,L3-4,Robot,Are there more alligators or cats in the bouncy house?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,51:29:00,A2-2,L3-4,Parent,Are there more alligators or cats in the bouncy house.,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
14,51:33:00,A2-2,L3-4,Parent,Know what more alligators are more cats?,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
14,51:40:00,A2-2,L3-4,Child,"Well, alligator",,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
14,51:41:00,A2-2,L3-4,Parent,"well, that isn't an alligator. No, that's toad.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
14,51:45:00,A2-2,L3-4,Parent,He saw Do you think there's more alligators or more cats?,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
14,51:49:00,A2-2,L3-4,Child,No. And alligators or cats,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
14,51:53:00,A2-2,,Parent,"the same. Okay, Pete and the gang piled the pepperoni, pretzels, pistachios, pickles. Popcorn papaya on top. The pizza was so high. They had to stop doing the pizza was done. Trying something new might be fun. They all build up the courage to take the first bite. Who's gonna do it? And the pepperoni pretzel, pistachio . Pickle popcorn papaya pizza was yesterday first.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,52:31:00,A2-2,L4-3,Robot,How many slices of pizza would be left? If two of pizzas friends ate their slices?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,52:36:00,A2-2,L4-3,Child,one? one,,,,,,,,1,,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,
14,52:39:00,A2-2,L4-3,Parent,"wait, let's see. If two other friends. Okay, so how many are their total? Let's count all of them.",1,,,,,,,,,,,4,,1,,1,,,,,,,,,,,,,,,1,,,,
14,52:47:00,A2-2,L4-3,Child,"1,2,3,4",,,,,,,,1,,,1,4,,1,,1,,,,,,,,,,,,,,,,,,,
14,52:48:00,A2-2,L4-3,Parent,"then there's that? 1,2,3,5",1,,,,,,,,,,,5,,1,,1,,,,,,,,,,,,,,1,,,,,
14,52:51:00,A2-2,L4-3,Parent,right. It's a fifth one.,1,,,,,,,,,,,5,,1,,,,,,,,,,,,,1,,,,,,,,
14,52:52:00,A2-2,L4-3,Parent,"So if two of them ate their pizza, then how many would be left?",1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
14,52:57:00,A2-2,L4-3,Child,"1, 2, 3",,,,,,,,1,,,1,3,1,,,,,,,,,1,,,,,,,,,,,,,
14,53:01:00,A2-2,L4-3,Parent,Let's see if there's a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,53:03:00,A2-2,L4-3,Robot,if Pete's friends ate two slices. There would only be two left for the group.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,53:11:00,A2-2,,Parent,"Well, there's that one. I don't know. Misty. I'm gonna have to disagree with you. Out of sight. Dynamite just right. Let's go back. Let's read that again. So there's more continuity. And the pepperoni, pretzels pistachio pickle. Popcorn papaya pizza was out of sight. Dynamite just right. Loved it in the end, the perfect pizza is a pizza shared with friends.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
14,53:53:00,A2-2,,Child,Yeah.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,53:58:00,A2-2,L4-4,Robot,How many animals would be wearing hats if we took away one of them?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,54:03:00,A2-2,L4-4,Parent,Okay. Let's count all the hats. Let's see. Do we count all the hats versus how many total?,1,,,,,,,,,,,6,,1,,1,,,,,,,,,,,,1,,,,,,,
14,54:09:00,A2-2,L4-4,Child,"1, 2, 3, 4, 5, 6",,,,,,,,1,,1,,6,,1,,1,,,,,,,,,,,,,,,,,,,
14,54:18:00,A2-2,L4-4,Parent,"six. Okay, so we've got six hats. So we take away one then how many is there",1,,,,,,,,,,,6,,1,,,,,,,,1,,,,,1,,,,,1,,,
14,54:25:00,A2-2,L4-4,Child,"1, 2, 3, 4, 5, 6",,,,,,,,1,,,1,6,,1,,,,,,,,1,,,,,,,,,,,,,
14,54:31:00,A2-2,L4-4,Robot,"If we took away one hat, there would be five left. Yeah, we got it. That's right. That's the end of the book. Oh. Do you want to read another book today?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,54:43:00,,,Child,"Yes, please.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,55:00:00,,,Parent,"Yes, I said yes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,55:03:00,A2-3,,Robot,What book do you want to read? Just show me the tag on the back of it when you're ready. You want to read how to babysit a grandma.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,55:16:00,A2-3,,Parent,How to babysit a grandma. Do you know how to babysitter Grandma?,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,55:22:00,A2-3,,Researcher,"Yes. Oh, sorry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,55:26:00,A2-3,,Robot,Let's begin reading.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,55:29:00,A2-3,,Parent,"When you babysit a grandma, if you're lucky, it's a sleepover at her house",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,55:41:00,A2-3,,Robot,How many animals would be wearing hats if we took away when,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,55:55:00,A2-3,L1-1,Robot,can you count the number of family members wearing skirts?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,55:59:00,A2-3,L1-1,Parent,Family members are wearing skirts. Why? One skirt?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,56:08:00,A2-3,L1-1,Robot,"One, only mom is wearing a skirt. Right. The rest of the family is wearing pants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,56:13:00,A2-3,,Parent,"Well, I guess no dress.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
14,56:18:00,A2-3,,Parent,"What should you do? Oh, and then grandma's wearing a skirt to what should you do when you get to her door? put on a disguise and say grassroot knock with a Secret Knock only she knows. Tap, tap tap. If you like cat's meow if you'd like dogs bark if you like goldfish. What kind of noises do goldfish make? When she opens the door shout, grandma. Your babysitter is here. When you this",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,56:53:00,A2-3,,Child,otherwise you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,56:57:00,A2-3,,Parent,hug your mom and dad. Goodbye and say don't be sad. I'll be home soon. Now tell your grandma all the fun things you have planned. How to keep a grammar busy. Go to the park. Big sticker doodles. Have a costume parade. Go to the park to feed the dogs. Do yoga. Look at family pictures. Go to the park to swing. play hide and seek make goofy hats. Go to the park to slide have a dancing puppet show. Read a stack of books go to go to the park to take photos do puzzle play cards. As the babysitter you need to let her choose. Of course she'll want to. Should we do that?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,57:38:00,A2-3,,Child,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,57:42:00,A2-3,,Parent,"Go to the park. What to do at the park. Slide down the bumpy slide and the top of the slide. If she's feeling brave, try the tallest slide of all. Push her grandma on the swing but not too high. Remind her to pump her legs. feed the ducks. Show her how to help the shy ones get some food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,58:02:00,A2-3,,Child,like ducks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,58:06:00,A2-3,,Parent,"Maybe the ones who are farther away Don't forget good babysitters always say I've 5 more minutes before it's time to do three. Should we loop in Misty? Back at home plan some more fun how to play with a grandma. Grab two microphones and sing a duet you might want to try. You are my sunshine or Happy Birthday. Or make up a new song together. lined up all her shoes to play shoe shack. If your grandma likes fancy things, decorate her with her ribbons bows and stickers and shout Tada when you hand her a mirror. See when let's see what Misty attracts. Soon it's time for dinner. Your grandma may be a yummy cook, but share your tricks to make everything taste even yummier add sprinkles to anything. Well, almost anything. sprinkles on grilled cheese. That sounds good to you. Arrange the food to make silly faces. Shut your eyes as you take each bite and say what else are they eating? When it starts to get dark, take your grandma outside to find the first Star Wars The first receipt to see what Misty has to say. Back inside snuggle up and read some books. Turn the pages slowly so she can find everything in the pictures. Ask your grandma for stories about when your mom was little. Do you do that with your grandma? We're not let's finish reading it What was mom's favorite? Here's some things you can ask. Grandma. What was mom's favorite thing to do with the park? Did she ever get in trouble? Was her grandma as fun as you teach her how to say I love you without making a sound point to your eye, to your heart and to her. Now let your grandma choose where she wants to sleep. places to sleep. Or she's sleeping there. Okay, what about your rug on the floor? What about here",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1:00:37,A2-3,,Child,in the couch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1:00:43,A2-3,,Parent,"is the right size. Oh, what's this one? Which one's bigger?",1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
14,1:00:49,A2-3,,Parent,"If she asks, Should we leave the nightlight on? The whole light on the door open? Answer. Yep, yep, yep. This is what it's like hanging out with your grandmas. Once you're both tucked in make shadow puppets have your shadow foxes kiss goodnight. If she's missing your mom and dad tell her they'll be here tomorrow bright and early. You want to see what misty has to say but one that looks over in the morning when you hear a knock open the door dressed up as",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1:01:31,A2-3,,Child,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1:01:34,A2-3,,Parent,her twins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1:01:41,A2-3,,Child,down to go on.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1:01:44,A2-3,,Parent,You should probably trade hats. After you're all packed out comes the hardest part. Goodbye time. How to say goodbye to Grandma.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1:01:55,A2-3,,Parent,"You're done with this book. Yeah, well let's have any last questions. We're gonna ask her any questions this time?Tell you're gonna follow up. Let's just say",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1:02:15,A2-3,,Robot,if grandma gave each mom and dad a hug after hugging the girl how many hugs Has she given grandma would have given three hugst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1:02:34,A2-3,,Robot,thats the end of the book. Great job for more today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
