Timestamp,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,,,,,,,,,,,
39:52:00,Researcher,"Its supposed to repeat the question I think, to repeat this page because you're not like instructed to know. Should we go to the next? So I think I think it's okay, but I really like skip.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40:12:00,Parent,Misty has another part to share. Let's see. What do you think Misty?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40:17:00,Robot,Would you like to start reading together?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40:20:00,Parent,"So we can tell Misty to repeat, say repeat Misty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40:27:00,Robot,Would you like to start reading together?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40:30:00,Parent,"Yes. You want to start reading together? No? To tell Misty Yes, press the left button now all we have to tell her YES. YES.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40:42:00,Robot,"Great you can check out how to pause, continue and quit on page number eight. Oh I see now that you know how to interact with me we can read another book",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40:52:00,Parent,[A2-2] Lets read another book. Should we read the Pete the cat?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40:59:00,Robot,What book would you like to read? Show me the tag on his back when you've decided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41:04:00,Parent,"Should we show her? Oh, there it is. So we have to tell her Misty we want to read this one.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41:10:00,Robot,You want to read Pete the cat and the perfect pizza party?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41:14:00,Parent,So we say yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41:16:00,Parent & Child,Yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41:18:00,Robot,Let's begin reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41:20:00,Parent,"Cool. All right, shall we show Misty the book too? Pete the cat and shall we just read it?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41:25:00,Researcher,"Yeah, sorry. Heads up just like read I'm normally as usual as you could.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41:30:00,Parent,"Alright petethe cat and the perfect pizza party. I think we read it from before any piece the cat loves pizza. Pete the cat loves parties to Pete had an idea of what he could do. Should we show this to Misty? What do you think, Misty?",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41:50:00,Robot,Can you count the number of houses?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41:56:00,Parent,"No, you can't? 1, 2",,1,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
42:05:00,Researcher,Let's see. Just a reminder if you if you want Misty can also give a response to the question but that's not required. Just a reminder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42:16:00,Robot,"1, 2, I see 2 different colors of houses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42:20:00,Parent,She saw 2 houses.,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
42:22:00,Researcher,So just feel free to use these features as you read naturally and then there's no right or wrong to interact with it at all. But just be aware that these are available. You can just use wherever you want.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42:35:00,Parent,"We can ask for some court aspect we actually can answer some questions. He would have the perfect pizza party. All right. Let's see what Misty says about what do you think this is gonna say about the pizza? Hey, misty. What do you think?",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42:50:00,Robot,Can you name 3 different colors that are on the page?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42:57:00,Parent,Let's name some colors. Oh that one is [child] favorite color and this one is my favority color which is and then this one is nobody's favorite color but it's a pretty good color and it is. Let's see what is misty says. Her favorite color.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
43:22:00,Robot,"3 colors that I see are yellow, blue and black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43:26:00,Parent,"Oh she saw black and we did not see that but there it is. Good eye, Misty.",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43:31:00,Child,Where's black.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43:32:00,Parent,Right there on the pencil. Also on the eye of Pete. Ah Misty. Petes friends all arrived. It was time to build the perfect pizza together that would make the pizza even better.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
43:50:00,Parent,Pizza party.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43:51:00,Child,Pizza party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43:54:00,Parent,Pizza. A perfect pizza will be pepperoni with extra cheese. Let's see. Do you like cheese? misty?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44:03:00,Robot,Can you count the number of friends Pete has at his party?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44:10:00,Parent,Let's see. Maybe we can have it repeat it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44:14:00,Robot,Can you count the number of friends Pete has at his party?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44:16:00,Parent,"I don't think she can eat cheese because it will get stuck in all her parts. Like that cheese is really like will get stuck. Let's see she wants us to count his friends. 1, [spanish] what do you think it is?",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44:16:00,Parent,Eat cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44:54:00,Child,Crocodile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44:55:00,Parent,Crocodile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44:56:00,Parent,What do you think it is?,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44:57:00,Child,Crocodile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45:00:00,Parent,Why is it so little?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45:03:00,Child,Because it is crocodile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45:06:00,Parent,"It's a baby crocodile? It's a party a party of pepperoni, pepperoni pizza party, but everyone did not agree. Interesting. I wonder what they did not agree on",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45:20:00,Child,In the past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45:21:00,Robot,How many of Pete's friends are green out of all his friends?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45:24:00,Parent,"Oh, how many friends are green? Which ones are green?",,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
45:28:00,Child,[point] Green Green,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45:31:00,Parent,"1, 2",,1,,,,,,,,,,,2,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
45:33:00,Child,"1, 2",,,,,,,,,1,,1,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45:34:00,Parent,And that one is a...,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45:37:00,Child,crocodile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45:39:00,Parent,For real are you just kidding?,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45:41:00,Child,Crocodile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45:42:00,Parent,It's a little tiny crocodile? Kelly said pepperoni would be just fine but I really love pretzels on mine. Pete and the gang are puzzled pretzels. Well that's something new maybe pretzels could be groovy too. Let's see. Let's see what Misty says about it.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46:02:00,Robot,How many animals are wearing a hat?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46:06:00,Parent,Who's wearing a hat? or what do you think?,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
46:11:00,Child,that ones wearing hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46:12:00,Parent,Is that the same hat as me? How many of them total though in the numbers?,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
46:17:00,Child,He's big now.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46:19:00,Parent,"I think he's like, he looks kind of frustrated. Alright, let's see. 1 hat. 1, 2, 3, 4, 5 [Spanish: Uno. Dos, Tres, Cuatro, Cinco], and?",,1,,,,,,,,,,,5,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
46:29:00,Child,6 [Spanish: seis],,,,,,,,,1,,1,,6,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46:31:00,Parent,"You can say, good job buddy, that's right. It's a party a party of pepperoni. Pepperoni pizza party. Let me see. What does misty say do you think misty can go into the pool or no? Why not?",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46:52:00,Child,Because then it gets broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46:54:00,Parent,broken?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46:55:00,Child,"Yeah,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46:56:00,Parent,Misty can you go into the pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46:59:00,Robot,Can you count the number of pete friends in the pool in an animal-shaped floaty?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47:03:00,Parent,"Oh animal shape? It's a good question. That one is a pizza floating. 1, 2, 3 and 4 so that's a pizza floaty so yes 4 in animal floaties. Is that an animal floaty?",,1,,1,,,,,,,,,4,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
47:25:00,Child,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47:27:00,Parent,Squirrel said pepperoni and pretzels would be just fine but I really love pistachios on mine. Pete and the gang were puzzled pistachios well that's something new but maybe the pistachios could be groovy too,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47:52:00,Robot,The alligator has some sharp teeth. Can you count the number of teeth he has?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47:57:00,Parent,Oh he does. Okay ready let's count them you want to start it? [child] start the counting.,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
48:16:00,Parent,"1, 2. Misty likes to hear real numbers for real, in English or Spanish you think that misty can speak Spanish?",,1,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
48:27:00,Parent,"1, 2, 3, 4, 5, 6 [spanish: uno dos tres cuatro cinco seis]",,1,,,,,,,,,,,6,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
48:31:00,Parent,"1, 2, 3, 4, 5, 6, 7, 8 [spanish: uno dos tres cuatro cinco seis seitie ocho]. wow more than 8 teeth. It's a party. It's a party of pepperoni pretzel pistachio pizza party. Look at this grumpy Toad eyes adult said pepperoni pretzels and pistachios would be just fine. But I would really love pickles on mine.",,1,,,,,,,,,,,8,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
49:05:00,Child,whats pickles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49:07:00,Parent,pickles are like like all those. You know what's interesting? All these start with P? Pepperoni pretzels from pistachios. pa-pa-pa.,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
49:20:00,Child,"Then that, that nots yummy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49:23:00,Parent,"That not yummy to you? Pete and the gang were puzzled pickles. Well, that's something new but maybe pickles could be groovy too, you think misty would like pickels. Let's see. Do you like pickles?",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49:39:00,Robot,How many pickles did Toad bring?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49:41:00,Parent,"A lot, let's see. You want to start the counting or me?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49:46:00,Child,Me?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49:47:00,Parent,"Okay, so now with numbers because that's what Misty likes to hear.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
49:52:00,Child,"1, 2, 3, 4. 1, 2...",,,,,,,,,1,,,1,4,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49:54:00,Parent,5,,1,,,,,,,,,,,5,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
49:57:00,Child,"Misty, 5!",,,,,,,,,1,,1,,5,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49:59:00,Parent,"Let's see Oh, she can tell us.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50:02:00,Robot,Toad brought five pickles to put on the pizza. It is so silly of him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50:10:00,Parent,I forgot that she can answer the question too,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50:13:00,Robot,Toad brought five pickles to put on the pizza. It is so silly of him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50:21:00,Parent,"it's a party a party of pepperoni pretzel, pistachio pickled pizza party.  what do you think it is? What is that? So it was a do it looks like a little clown face that you can [spanish]  said pepperoni, pretzels. Pistachios and pickles will be just fine. But I really love popcorn on mine. thatss what I would choose. pete and the gang were puzzled popcorn. Well, that's something new but maybe popcorn could be groovy to you think misty likes popcorn. What do you think Misty?",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51:03:00,Robot,How many friends would Pete have at the party? If 1 more friend joined?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51:08:00,Parent,"Oh, you want to hear your answer?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51:09:00,Robot,Pete has 5 friends at the party. So if 1 more friend joined he would have 6 friends. That looks like fun.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51:18:00,Parent,Be gentle with Misty. Maybe she doesn't have any,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51:22:00,Robot,How many friends with Pete have at the party. If 1 more friend joined.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51:29:00,Parent,"You'd have to be gentle with misty. Because you see she's a little robot. She's like a baby. She knows a lot of things but you have to be gentle with her body. Okay, it's a party, a party, a pepperoni pretzel, pistachio pickle popcorn pizza party. Hey, so how many friends did misty say he she has 1, 2, 3, 4, 5.",1,1,,,,,,,,,,,5,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
51:50:00,Child,Pizza?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51:51:00,Parent,"And how many things are they added? 1, 2, 3, 4, 5  Do you think that 5 tppings is enough? Like that's dropped already? No more. Let's see how yucky this oh wait, there's 1 more thing to add. Alligator said pepperoni, pretzels, pistachios, pickles and popcorn will be just fine. ",,1,,,,,,,,,,,5,,1,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
51:51:00,Parent,But I really love papaya on mine. You know what? Have you ever seen that before?,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52:20:00,Child,Papaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52:20:00,Parent,you don't like it? you don't like it?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52:25:00,Child,I spit papaya out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52:26:00,Parent,"You spit it out? Now Pete and the gang we're really puzzled papaya. Well, that's something new but maybe papaya could be groovy too. It's a party, a party? A pepperoni, pretzel, pistachios, pickles. Papaya party? Wait so if her hat falls off how many people are wearing hats? 1, 2  not her, she's not 3, 4, 5",1,1,,,1,,,,,,,,5,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
52:59:00,Child,The slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53:00:00,Parent,"It's sliding down. They're sliding down. Thats kind of like the house of going on to yesterday. Oh, we got to ask Misty. Does she think about this page? No Why is she Oh, she doesn't see it.",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53:18:00,Robot,Are there more alligators or cats in the bouncy house?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53:24:00,Parent,"Which do you think is has more? They're more of, are there more cats at this party or more alligators? Yeah, there's 2 cats. But how many alligators are there? Well according to you there are 2 so there's, let's see what is Misty think though?",,1,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
53:43:00,Robot,There is 1 alligator and 1 cat in the bouncy house. So there are equal amounts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53:48:00,Parent,"Oh I see. Because he's not in it. He's outside of. Pete and the gang piled the pepperoni, pretzels, pistachios, pickles, popcorn and papaya on top. The pizza was so high that they had to stop. The pizza was done. Trying something new might be fun. They all built up the courage to take a first bite do you think it is going to be good. No, why not?",1,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
54:16:00,Child,Too many,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54:17:00,Parent,"He has to many in it? pepperoni pretzel pistachio pickled popcorn papaya pizza was...Oh, wow. Out of sight. Dynamite just right. In the end, the perfect pizza is a pizza shared with friends.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54:46:00,Robot,How many friends would Pete have at his party if he invited 3 more friends?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54:51:00,Parent,"Oh, 3 more people. So right now he has 1. You want to start it? You want to do it in English or Spanish? Do you want mama to start it? Get ready, 1.",,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55:06:00,Child,No i do it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55:07:00,Parent,"Okay, you do it. Do it. Do it. Show me. This is the last page. Show me how you what. You want to be all done?",,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
55:15:00,Child,Yeah.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55:16:00,Parent,"Well, let's do this. Ready?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55:17:00,Parent,"1, 2 [spanish: uno dos]. What is that? is that [spanish] part of their party or no? Okay, I'll count it myself.",,1,,1,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
55:27:00,Child,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55:27:00,Parent,You don't want to? I want to do it,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55:31:00,Parent,"1, 2, 3, 4, 5, 6, 7 and then",,1,,,,,,,,,,,7,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
55:36:00,Child,"I will do it, I will do it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55:41:00,Parent,And then 3 more is 10. That is the line that you drew. And...,,1,,,,,,,,,,,10,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
55:52:00,Child,Pizza party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55:54:00,Parent,"Oh, we can see. Misty can answer the question.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55:57:00,Robot,If Pete invited 3 more friends. There would be 9 friends at the party. One big party here. You finished the book. Do you want to read more today?,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56:09:00,Parent & Child,She's so cute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56:10:00,Parent,Do you want to read more? [child]? You do you want to read another book with Misty? Should we read this other one? So we say yes.,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56:18:00,Child,Yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56:21:00,Parent,"[A2-3] How to babysit? Oh, we have to show her the back",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56:25:00,Robot,What book do you want to read?Just show me the tag on the back of it when you're ready.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56:30:00,Parent,We want to show this one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56:34:00,Robot,You want to read? How to babysitter Grandma?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
